genes,weight
214598_at,0.002116969253406386
204259_at,0.0015558995862015974
213979_s_at,0.0010163295749299282
213432_at,0.0006919314590974647
206421_s_at,0.0006423333728337566
206391_at,0.0006369236803389755
223579_s_at,0.0006243756734120864
206422_at,0.0006026759869608172
225458_at,0.0005301459817030926
230830_at,0.0005267129207552171
